"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","402","18760101","3.5","5","0"
"TXK_MN004","402","18760102","2.8","5","0"
"TXK_MN004","402","18760103","2.8","5","0"
"TXK_MN004","402","18760104","-1.8","5","0"
"TXK_MN004","402","18760105","-6.8","5","0"
"TXK_MN004","402","18760106","-4.5","5","0"
"TXK_MN004","402","18760107","-4.5","5","0"
"TXK_MN004","402","18760108","-6.8","5","0"
"TXK_MN004","402","18760109","-9.8","5","0"
"TXK_MN004","402","18760110","-6.2","5","0"
"TXK_MN004","402","18760111","-5.3","5","0"
"TXK_MN004","402","18760112","-3.5","5","0"
"TXK_MN004","402","18760113","-2.8","5","0"
"TXK_MN004","402","18760114","-2.3","5","0"
"TXK_MN004","402","18760115","-3","5","0"
"TXK_MN004","402","18760116","-0.8","5","0"
"TXK_MN004","402","18760117","-0.3","5","0"
"TXK_MN004","402","18760118","3.3","5","0"
"TXK_MN004","402","18760119","5.5","5","0"
"TXK_MN004","402","18760120","5.8","5","0"
"TXK_MN004","402","18760121","6","5","0"
"TXK_MN004","402","18760122","6","5","0"
"TXK_MN004","402","18760123","2.8","5","0"
"TXK_MN004","402","18760124","3.8","5","0"
"TXK_MN004","402","18760125","4.3","5","0"
"TXK_MN004","402","18760126","1.8","5","0"
"TXK_MN004","402","18760127","0.3","5","0"
"TXK_MN004","402","18760128","0.3","5","0"
"TXK_MN004","402","18760129","0.5","5","0"
"TXK_MN004","402","18760130","3","5","0"
"TXK_MN004","402","18760131","2.8","5","0"
"TXK_MN004","402","18760201","1.3","5","0"
"TXK_MN004","402","18760202","3.5","5","0"
"TXK_MN004","402","18760203","2","5","0"
"TXK_MN004","402","18760204","3.8","5","0"
"TXK_MN004","402","18760205","1.5","5","0"
"TXK_MN004","402","18760206","0.8","5","0"
"TXK_MN004","402","18760207","0.8","5","0"
"TXK_MN004","402","18760208","-0.3","5","0"
"TXK_MN004","402","18760209","-0.3","5","0"
"TXK_MN004","402","18760210","0.3","5","0"
"TXK_MN004","402","18760211","-2.8","5","0"
"TXK_MN004","402","18760212","0.8","5","0"
"TXK_MN004","402","18760213","-2.5","5","0"
"TXK_MN004","402","18760214","2.8","5","0"
"TXK_MN004","402","18760215","4.3","5","0"
"TXK_MN004","402","18760216","7.5","5","0"
"TXK_MN004","402","18760217","6.8","5","0"
"TXK_MN004","402","18760218","9.3","5","0"
"TXK_MN004","402","18760219","11.3","5","0"
"TXK_MN004","402","18760220","6.8","5","0"
"TXK_MN004","402","18760221","6.3","5","0"
"TXK_MN004","402","18760222","12.3","5","0"
"TXK_MN004","402","18760223","10.8","5","0"
"TXK_MN004","402","18760224","7.5","5","0"
"TXK_MN004","402","18760225","4.5","5","0"
"TXK_MN004","402","18760226","5.8","5","0"
"TXK_MN004","402","18760227","9.5","5","0"
"TXK_MN004","402","18760228","9.8","5","0"
"TXK_MN004","402","18760229","6.5","5","0"
"TXK_MN004","402","18760301","10","5","0"
"TXK_MN004","402","18760302","10.8","5","0"
"TXK_MN004","402","18760303","8.8","5","0"
"TXK_MN004","402","18760304","12.8","5","0"
"TXK_MN004","402","18760305","8.8","5","0"
"TXK_MN004","402","18760306","9.3","5","0"
"TXK_MN004","402","18760307","9","5","0"
"TXK_MN004","402","18760308","6.5","5","0"
"TXK_MN004","402","18760309","8","5","0"
"TXK_MN004","402","18760310","7.5","5","0"
"TXK_MN004","402","18760311","9.5","5","0"
"TXK_MN004","402","18760312","9","5","0"
"TXK_MN004","402","18760313","8.3","5","0"
"TXK_MN004","402","18760314","7","5","0"
"TXK_MN004","402","18760315","10","5","0"
"TXK_MN004","402","18760316","8.3","5","0"
"TXK_MN004","402","18760317","4.5","5","0"
"TXK_MN004","402","18760318","6.3","5","0"
"TXK_MN004","402","18760319","4.8","5","0"
"TXK_MN004","402","18760320","4","5","0"
"TXK_MN004","402","18760321","3.3","5","0"
"TXK_MN004","402","18760322","0.5","5","0"
"TXK_MN004","402","18760323","6.5","5","0"
"TXK_MN004","402","18760324","4.8","5","0"
"TXK_MN004","402","18760325","5","5","0"
"TXK_MN004","402","18760326","0.8","5","0"
"TXK_MN004","402","18760327","4","5","0"
"TXK_MN004","402","18760328","9","5","0"
"TXK_MN004","402","18760329","15.5","5","0"
"TXK_MN004","402","18760330","14.8","5","0"
"TXK_MN004","402","18760331","15","5","0"
"TXK_MN004","402","18760401","13.3","5","0"
"TXK_MN004","402","18760402","19.3","5","0"
"TXK_MN004","402","18760403","13.5","5","0"
"TXK_MN004","402","18760404","9.3","5","0"
"TXK_MN004","402","18760405","14","5","0"
"TXK_MN004","402","18760406","14","5","0"
"TXK_MN004","402","18760407","13","5","0"
"TXK_MN004","402","18760408","15","5","0"
"TXK_MN004","402","18760409","19.3","5","0"
"TXK_MN004","402","18760410","17","5","0"
"TXK_MN004","402","18760411","15.3","5","0"
"TXK_MN004","402","18760412","10.3","5","0"
"TXK_MN004","402","18760413","6.3","5","0"
"TXK_MN004","402","18760414","9.8","5","0"
"TXK_MN004","402","18760415","11","5","0"
"TXK_MN004","402","18760416","7","5","0"
"TXK_MN004","402","18760417","11.8","5","0"
"TXK_MN004","402","18760418","14","5","0"
"TXK_MN004","402","18760419","18.5","5","0"
"TXK_MN004","402","18760420","17.8","5","0"
"TXK_MN004","402","18760421","19","5","0"
"TXK_MN004","402","18760422","13","5","0"
"TXK_MN004","402","18760423","17.3","5","0"
"TXK_MN004","402","18760424","10","5","0"
"TXK_MN004","402","18760425","13.3","5","0"
"TXK_MN004","402","18760426","15","5","0"
"TXK_MN004","402","18760427","11.3","5","0"
"TXK_MN004","402","18760428","12.8","5","0"
"TXK_MN004","402","18760429","16.8","5","0"
"TXK_MN004","402","18760430","18.5","5","0"
"TXK_MN004","402","18760501","17.3","5","0"
"TXK_MN004","402","18760502","11.5","5","0"
"TXK_MN004","402","18760503","10.5","5","0"
"TXK_MN004","402","18760504","11","5","0"
"TXK_MN004","402","18760505","13","5","0"
"TXK_MN004","402","18760506","14.5","5","0"
"TXK_MN004","402","18760507","9.5","5","0"
"TXK_MN004","402","18760508","9.3","5","0"
"TXK_MN004","402","18760509","10.8","5","0"
"TXK_MN004","402","18760510","12.5","5","0"
"TXK_MN004","402","18760511","11.3","5","0"
"TXK_MN004","402","18760512","11","5","0"
"TXK_MN004","402","18760513","11.8","5","0"
"TXK_MN004","402","18760514","11","5","0"
"TXK_MN004","402","18760515","12.8","5","0"
"TXK_MN004","402","18760516","12.5","5","0"
"TXK_MN004","402","18760517","15.8","5","0"
"TXK_MN004","402","18760518","16.8","5","0"
"TXK_MN004","402","18760519","9","5","0"
"TXK_MN004","402","18760520","13.3","5","0"
"TXK_MN004","402","18760521","17.3","5","0"
"TXK_MN004","402","18760522","16.3","5","0"
"TXK_MN004","402","18760523","19.3","5","0"
"TXK_MN004","402","18760524","18.3","5","0"
"TXK_MN004","402","18760525","20.3","5","0"
"TXK_MN004","402","18760526","15.3","5","0"
"TXK_MN004","402","18760527","13.5","5","0"
"TXK_MN004","402","18760528","15.5","5","0"
"TXK_MN004","402","18760529","19.5","5","0"
"TXK_MN004","402","18760530","21.3","5","0"
"TXK_MN004","402","18760531","25","5","0"
"TXK_MN004","402","18760601","14.3","5","0"
"TXK_MN004","402","18760602","17.3","5","0"
"TXK_MN004","402","18760603","25.3","5","0"
"TXK_MN004","402","18760604","21.5","5","0"
"TXK_MN004","402","18760605","22.8","5","0"
"TXK_MN004","402","18760606","26.5","5","0"
"TXK_MN004","402","18760607","28.8","5","0"
"TXK_MN004","402","18760608","20","5","0"
"TXK_MN004","402","18760609","28","5","0"
"TXK_MN004","402","18760610","23.8","5","0"
"TXK_MN004","402","18760611","23.8","5","0"
"TXK_MN004","402","18760612","24","5","0"
"TXK_MN004","402","18760613","23.5","5","0"
"TXK_MN004","402","18760614","21.5","5","0"
"TXK_MN004","402","18760615","23","5","0"
"TXK_MN004","402","18760616","24.5","5","0"
"TXK_MN004","402","18760617","18.8","5","0"
"TXK_MN004","402","18760618","23.3","5","0"
"TXK_MN004","402","18760619","24","5","0"
"TXK_MN004","402","18760620","23.8","5","0"
"TXK_MN004","402","18760621","25.3","5","0"
"TXK_MN004","402","18760622","25.5","5","0"
"TXK_MN004","402","18760623","21","5","0"
"TXK_MN004","402","18760624","20","5","0"
"TXK_MN004","402","18760625","20","5","0"
"TXK_MN004","402","18760626","23","5","0"
"TXK_MN004","402","18760627","22.5","5","0"
"TXK_MN004","402","18760628","25.3","5","0"
"TXK_MN004","402","18760629","25.3","5","0"
"TXK_MN004","402","18760630","23.3","5","0"
"TXK_MN004","402","18760701","22.5","5","0"
"TXK_MN004","402","18760702","20.5","5","0"
"TXK_MN004","402","18760703","24","5","0"
"TXK_MN004","402","18760704","23","5","0"
"TXK_MN004","402","18760705","23.8","5","0"
"TXK_MN004","402","18760706","25","5","0"
"TXK_MN004","402","18760707","30","5","0"
"TXK_MN004","402","18760708","30.8","5","0"
"TXK_MN004","402","18760709","26.3","5","0"
"TXK_MN004","402","18760710","28.3","5","0"
"TXK_MN004","402","18760711","22.3","5","0"
"TXK_MN004","402","18760712","22.5","5","0"
"TXK_MN004","402","18760713","21.3","5","0"
"TXK_MN004","402","18760714","22.3","5","0"
"TXK_MN004","402","18760715","23.8","5","0"
"TXK_MN004","402","18760716","23.5","5","0"
"TXK_MN004","402","18760717","23.5","5","0"
"TXK_MN004","402","18760718","21","5","0"
"TXK_MN004","402","18760719","18.3","5","0"
"TXK_MN004","402","18760720","21.8","5","0"
"TXK_MN004","402","18760721","22.3","5","0"
"TXK_MN004","402","18760722","23.8","5","0"
"TXK_MN004","402","18760723","26.3","5","0"
"TXK_MN004","402","18760724","28.8","5","0"
"TXK_MN004","402","18760725","28.8","5","0"
"TXK_MN004","402","18760726","25.5","5","0"
"TXK_MN004","402","18760727","29.8","5","0"
