"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TMK_MN004","402","18760101","2.2","5","4"
"TMK_MN004","402","18760102","2.5","5","4"
"TMK_MN004","402","18760103","0.3","5","4"
"TMK_MN004","402","18760104","-5.8","5","4"
"TMK_MN004","402","18760105","-9.8","5","4"
"TMK_MN004","402","18760106","-7.7","5","4"
"TMK_MN004","402","18760107","-6.6","5","4"
"TMK_MN004","402","18760108","-8.9","5","4"
"TMK_MN004","402","18760109","-12.7","5","4"
"TMK_MN004","402","18760110","-8.9","5","4"
"TMK_MN004","402","18760111","-6.2","5","4"
"TMK_MN004","402","18760112","-4.6","5","4"
"TMK_MN004","402","18760113","-3.5","5","4"
"TMK_MN004","402","18760114","-3.6","5","4"
"TMK_MN004","402","18760115","-3.1","5","4"
"TMK_MN004","402","18760116","-2.3","5","4"
"TMK_MN004","402","18760117","-1.2","5","4"
"TMK_MN004","402","18760118","0.8","5","4"
"TMK_MN004","402","18760119","3.8","5","4"
"TMK_MN004","402","18760120","3.3","5","4"
"TMK_MN004","402","18760121","3.9","5","4"
"TMK_MN004","402","18760122","1","5","4"
"TMK_MN004","402","18760123","0.6","5","4"
"TMK_MN004","402","18760124","2.5","5","4"
"TMK_MN004","402","18760125","2.8","5","4"
"TMK_MN004","402","18760126","0.3","5","4"
"TMK_MN004","402","18760127","-0.8","5","4"
"TMK_MN004","402","18760128","-2.2","5","4"
"TMK_MN004","402","18760129","-1.3","5","4"
"TMK_MN004","402","18760130","0.7","5","4"
"TMK_MN004","402","18760131","0.3","5","4"
"TMK_MN004","402","18760201","-1.2","5","4"
"TMK_MN004","402","18760202","0.2","5","4"
"TMK_MN004","402","18760203","0.8","5","4"
"TMK_MN004","402","18760204","1.9","5","4"
"TMK_MN004","402","18760205","0.6","5","4"
"TMK_MN004","402","18760206","-0.8","5","4"
"TMK_MN004","402","18760207","0","5","4"
"TMK_MN004","402","18760208","-3.1","5","4"
"TMK_MN004","402","18760209","-0.6","5","4"
"TMK_MN004","402","18760210","-2.1","5","4"
"TMK_MN004","402","18760211","-4.6","5","4"
"TMK_MN004","402","18760212","-1.2","5","4"
"TMK_MN004","402","18760213","-5.4","5","4"
"TMK_MN004","402","18760214","-0.5","5","4"
"TMK_MN004","402","18760215","3.4","5","4"
"TMK_MN004","402","18760216","5.4","5","4"
"TMK_MN004","402","18760217","5.6","5","4"
"TMK_MN004","402","18760218","6.6","5","4"
"TMK_MN004","402","18760219","8.1","5","4"
"TMK_MN004","402","18760220","5.2","5","4"
"TMK_MN004","402","18760221","3.9","5","4"
"TMK_MN004","402","18760222","10.1","5","4"
"TMK_MN004","402","18760223","8.4","5","4"
"TMK_MN004","402","18760224","4.9","5","4"
"TMK_MN004","402","18760225","2.9","5","4"
"TMK_MN004","402","18760226","4","5","4"
"TMK_MN004","402","18760227","7.2","5","4"
"TMK_MN004","402","18760228","7.5","5","4"
"TMK_MN004","402","18760229","2.1","5","4"
"TMK_MN004","402","18760301","6.8","5","4"
"TMK_MN004","402","18760302","8.2","5","4"
"TMK_MN004","402","18760303","5.6","5","4"
"TMK_MN004","402","18760304","9.7","5","4"
"TMK_MN004","402","18760305","6.2","5","4"
"TMK_MN004","402","18760306","6.5","5","4"
"TMK_MN004","402","18760307","6","5","4"
"TMK_MN004","402","18760308","3.9","5","4"
"TMK_MN004","402","18760309","5.4","5","4"
"TMK_MN004","402","18760310","4.5","5","4"
"TMK_MN004","402","18760311","6.3","5","4"
"TMK_MN004","402","18760312","6.2","5","4"
"TMK_MN004","402","18760313","5.3","5","4"
"TMK_MN004","402","18760314","4.6","5","4"
"TMK_MN004","402","18760315","7.3","5","4"
"TMK_MN004","402","18760316","4.7","5","4"
"TMK_MN004","402","18760317","2.5","5","4"
"TMK_MN004","402","18760318","2.9","5","4"
"TMK_MN004","402","18760319","2.2","5","4"
"TMK_MN004","402","18760320","2.3","5","4"
"TMK_MN004","402","18760321","1.4","5","4"
"TMK_MN004","402","18760322","-0.3","5","4"
"TMK_MN004","402","18760323","2.6","5","4"
"TMK_MN004","402","18760324","3.1","5","4"
"TMK_MN004","402","18760325","2.2","5","4"
"TMK_MN004","402","18760326","0.3","5","4"
"TMK_MN004","402","18760327","1.6","5","4"
"TMK_MN004","402","18760328","5.7","5","4"
"TMK_MN004","402","18760329","10","5","4"
"TMK_MN004","402","18760330","10.3","5","4"
"TMK_MN004","402","18760331","9.9","5","4"
"TMK_MN004","402","18760401","9.9","5","4"
"TMK_MN004","402","18760402","12.8","5","4"
"TMK_MN004","402","18760403","10.8","5","4"
"TMK_MN004","402","18760404","7.9","5","4"
"TMK_MN004","402","18760405","9.4","5","4"
"TMK_MN004","402","18760406","10.6","5","4"
"TMK_MN004","402","18760407","8.6","5","4"
"TMK_MN004","402","18760408","10.2","5","4"
"TMK_MN004","402","18760409","12.4","5","4"
"TMK_MN004","402","18760410","12.9","5","4"
"TMK_MN004","402","18760411","10.8","5","4"
"TMK_MN004","402","18760412","5.6","5","4"
"TMK_MN004","402","18760413","3.7","5","4"
"TMK_MN004","402","18760414","5.1","5","4"
"TMK_MN004","402","18760415","6.5","5","4"
"TMK_MN004","402","18760416","5.9","5","4"
"TMK_MN004","402","18760417","8.9","5","4"
"TMK_MN004","402","18760418","11.1","5","4"
"TMK_MN004","402","18760419","12.7","5","4"
"TMK_MN004","402","18760420","13.3","5","4"
"TMK_MN004","402","18760421","14.2","5","4"
"TMK_MN004","402","18760422","9.3","5","4"
"TMK_MN004","402","18760423","11.6","5","4"
"TMK_MN004","402","18760424","7.8","5","4"
"TMK_MN004","402","18760425","9.8","5","4"
"TMK_MN004","402","18760426","11.1","5","4"
"TMK_MN004","402","18760427","8.5","5","4"
"TMK_MN004","402","18760428","9.2","5","4"
"TMK_MN004","402","18760429","12.7","5","4"
"TMK_MN004","402","18760430","11.7","5","4"
"TMK_MN004","402","18760501","11.9","5","4"
"TMK_MN004","402","18760502","8.5","5","4"
"TMK_MN004","402","18760503","7.7","5","4"
"TMK_MN004","402","18760504","8.2","5","4"
"TMK_MN004","402","18760505","10.3","5","4"
"TMK_MN004","402","18760506","10.1","5","4"
"TMK_MN004","402","18760507","5.8","5","4"
"TMK_MN004","402","18760508","5.4","5","4"
"TMK_MN004","402","18760509","6.2","5","4"
"TMK_MN004","402","18760510","6.8","5","4"
"TMK_MN004","402","18760511","6.8","5","4"
"TMK_MN004","402","18760512","7.1","5","4"
"TMK_MN004","402","18760513","8.3","5","4"
"TMK_MN004","402","18760514","8","5","4"
"TMK_MN004","402","18760515","9.6","5","4"
"TMK_MN004","402","18760516","10","5","4"
"TMK_MN004","402","18760517","12","5","4"
"TMK_MN004","402","18760518","11.4","5","4"
"TMK_MN004","402","18760519","5.6","5","4"
"TMK_MN004","402","18760520","9.2","5","4"
"TMK_MN004","402","18760521","11.9","5","4"
"TMK_MN004","402","18760522","12.1","5","4"
"TMK_MN004","402","18760523","14","5","4"
"TMK_MN004","402","18760524","14.4","5","4"
"TMK_MN004","402","18760525","14.8","5","4"
"TMK_MN004","402","18760526","11.9","5","4"
"TMK_MN004","402","18760527","9.4","5","4"
"TMK_MN004","402","18760528","11.5","5","4"
"TMK_MN004","402","18760529","15.4","5","4"
"TMK_MN004","402","18760530","16.7","5","4"
"TMK_MN004","402","18760531","17.4","5","4"
"TMK_MN004","402","18760601","12.7","5","4"
"TMK_MN004","402","18760602","14.4","5","4"
"TMK_MN004","402","18760603","19.3","5","4"
"TMK_MN004","402","18760604","16.6","5","4"
"TMK_MN004","402","18760605","17.7","5","4"
"TMK_MN004","402","18760606","21.4","5","4"
"TMK_MN004","402","18760607","22.7","5","4"
"TMK_MN004","402","18760608","17.2","5","4"
"TMK_MN004","402","18760609","21.6","5","4"
"TMK_MN004","402","18760610","19.6","5","4"
"TMK_MN004","402","18760611","19.6","5","4"
"TMK_MN004","402","18760612","19.1","5","4"
"TMK_MN004","402","18760613","19.6","5","4"
"TMK_MN004","402","18760614","18.7","5","4"
"TMK_MN004","402","18760615","18.9","5","4"
"TMK_MN004","402","18760616","20.8","5","4"
"TMK_MN004","402","18760617","15.3","5","4"
"TMK_MN004","402","18760618","18.2","5","4"
"TMK_MN004","402","18760619","20","5","4"
"TMK_MN004","402","18760620","19.1","5","4"
"TMK_MN004","402","18760621","19.9","5","4"
"TMK_MN004","402","18760622","19.9","5","4"
"TMK_MN004","402","18760623","16.1","5","4"
"TMK_MN004","402","18760624","15.4","5","4"
"TMK_MN004","402","18760625","16.2","5","4"
"TMK_MN004","402","18760626","17.4","5","4"
"TMK_MN004","402","18760627","17.6","5","4"
"TMK_MN004","402","18760628","20.6","5","4"
"TMK_MN004","402","18760629","20.3","5","4"
"TMK_MN004","402","18760630","19.2","5","4"
"TMK_MN004","402","18760701","16.7","5","4"
"TMK_MN004","402","18760702","17.5","5","4"
"TMK_MN004","402","18760703","18","5","4"
"TMK_MN004","402","18760704","19.1","5","4"
"TMK_MN004","402","18760705","20.3","5","4"
"TMK_MN004","402","18760706","21.2","5","4"
"TMK_MN004","402","18760707","23.2","5","4"
"TMK_MN004","402","18760708","23.7","5","4"
"TMK_MN004","402","18760709","21.9","5","4"
"TMK_MN004","402","18760710","21.7","5","4"
"TMK_MN004","402","18760711","17.9","5","4"
"TMK_MN004","402","18760712","16.3","5","4"
"TMK_MN004","402","18760713","17.3","5","4"
"TMK_MN004","402","18760714","18.8","5","4"
"TMK_MN004","402","18760715","19.9","5","4"
"TMK_MN004","402","18760716","18.7","5","4"
"TMK_MN004","402","18760717","19.1","5","4"
"TMK_MN004","402","18760718","16.8","5","4"
"TMK_MN004","402","18760719","15.4","5","4"
"TMK_MN004","402","18760720","16.4","5","4"
"TMK_MN004","402","18760721","17","5","4"
"TMK_MN004","402","18760722","19.1","5","4"
"TMK_MN004","402","18760723","21.5","5","4"
"TMK_MN004","402","18760724","23.3","5","4"
"TMK_MN004","402","18760725","23.9","5","4"
"TMK_MN004","402","18760726","20.9","5","4"
"TMK_MN004","402","18760727","22.1","5","4"
"TMK_MN004","402","18760728","19.2","5","4"
"TMK_MN004","402","18760729","19.8","5","4"
"TMK_MN004","402","18760730","19.3","5","4"
"TMK_MN004","402","18760731","22.9","5","4"
"TMK_MN004","402","18760801","20.6","5","4"
"TMK_MN004","402","18760802","19.1","5","4"
"TMK_MN004","402","18760803","20.5","5","4"
"TMK_MN004","402","18760804","21","5","4"
"TMK_MN004","402","18760805","21","5","4"
"TMK_MN004","402","18760806","18.3","5","4"
"TMK_MN004","402","18760807","20.2","5","4"
"TMK_MN004","402","18760808","21.7","5","4"
"TMK_MN004","402","18760809","20.2","5","4"
"TMK_MN004","402","18760810","20.2","5","4"
"TMK_MN004","402","18760811","20.5","5","4"
"TMK_MN004","402","18760812","19.9","5","4"
"TMK_MN004","402","18760813","21.9","5","4"
"TMK_MN004","402","18760814","23.2","5","4"
"TMK_MN004","402","18760815","23.9","5","4"
"TMK_MN004","402","18760816","18.9","5","4"
"TMK_MN004","402","18760817","17.6","5","4"
"TMK_MN004","402","18760818","17.4","5","4"
"TMK_MN004","402","18760819","19.7","5","4"
"TMK_MN004","402","18760820","22.4","5","4"
"TMK_MN004","402","18760821","25.1","5","4"
"TMK_MN004","402","18760822","22.6","5","4"
"TMK_MN004","402","18760823","19.6","5","4"
"TMK_MN004","402","18760824","16.2","5","4"
"TMK_MN004","402","18760825","15.4","5","4"
"TMK_MN004","402","18760826","13.7","5","4"
"TMK_MN004","402","18760827","13.9","5","4"
"TMK_MN004","402","18760828","14.4","5","4"
"TMK_MN004","402","18760829","16","5","4"
"TMK_MN004","402","18760830","15.7","5","4"
"TMK_MN004","402","18760831","13.9","5","4"
"TMK_MN004","402","18760901","13.3","5","4"
"TMK_MN004","402","18760902","15","5","4"
"TMK_MN004","402","18760903","14.2","5","4"
"TMK_MN004","402","18760904","14.8","5","4"
"TMK_MN004","402","18760905","19.5","5","4"
"TMK_MN004","402","18760906","20.2","5","4"
"TMK_MN004","402","18760907","16.9","5","4"
"TMK_MN004","402","18760908","14.2","5","4"
"TMK_MN004","402","18760909","13.1","5","4"
"TMK_MN004","402","18760910","13","5","4"
"TMK_MN004","402","18760911","12.5","5","4"
"TMK_MN004","402","18760912","13.1","5","4"
"TMK_MN004","402","18760913","13","5","4"
"TMK_MN004","402","18760914","13.8","5","4"
"TMK_MN004","402","18760915","13.3","5","4"
"TMK_MN004","402","18760916","13.1","5","4"
"TMK_MN004","402","18760917","13","5","4"
"TMK_MN004","402","18760918","13","5","4"
"TMK_MN004","402","18760919","12.4","5","4"
"TMK_MN004","402","18760920","11.9","5","4"
"TMK_MN004","402","18760921","11.4","5","4"
"TMK_MN004","402","18760922","11.6","5","4"
"TMK_MN004","402","18760923","11.9","5","4"
"TMK_MN004","402","18760924","12.3","5","4"
"TMK_MN004","402","18760925","14.4","5","4"
"TMK_MN004","402","18760926","14.3","5","4"
"TMK_MN004","402","18760927","13.7","5","4"
"TMK_MN004","402","18760928","14.9","5","4"
"TMK_MN004","402","18760929","14.4","5","4"
"TMK_MN004","402","18760930","13","5","4"
"TMK_MN004","402","18761001","11.2","5","4"
"TMK_MN004","402","18761002","9.6","5","4"
"TMK_MN004","402","18761003","11","5","4"
"TMK_MN004","402","18761004","12.3","5","4"
"TMK_MN004","402","18761005","15.9","5","4"
"TMK_MN004","402","18761006","15.1","5","4"
"TMK_MN004","402","18761007","16.4","5","4"
"TMK_MN004","402","18761008","17.1","5","4"
"TMK_MN004","402","18761009","17.5","5","4"
"TMK_MN004","402","18761010","16.4","5","4"
"TMK_MN004","402","18761011","17.6","5","4"
"TMK_MN004","402","18761012","19","5","4"
"TMK_MN004","402","18761013","18.6","5","4"
