"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TNK_MN004","402","18760101","-3","5","0"
"TNK_MN004","402","18760102","2.3","5","0"
"TNK_MN004","402","18760103","-1.8","5","0"
"TNK_MN004","402","18760104","-7","5","0"
"TNK_MN004","402","18760105","-13.3","5","0"
"TNK_MN004","402","18760106","-12.3","5","0"
"TNK_MN004","402","18760107","-7.3","5","0"
"TNK_MN004","402","18760108","-10.3","5","0"
"TNK_MN004","402","18760109","-13.8","5","0"
"TNK_MN004","402","18760110","-13.3","5","0"
"TNK_MN004","402","18760111","-7.5","5","0"
"TNK_MN004","402","18760112","-6.3","5","0"
"TNK_MN004","402","18760113","-4.3","5","0"
"TNK_MN004","402","18760114","-4.8","5","0"
"TNK_MN004","402","18760115","-4.3","5","0"
"TNK_MN004","402","18760116","-3.8","5","0"
"TNK_MN004","402","18760117","-3.8","5","0"
"TNK_MN004","402","18760118","-1.5","5","0"
"TNK_MN004","402","18760119","2.5","5","0"
"TNK_MN004","402","18760120","1.8","5","0"
"TNK_MN004","402","18760121","1.8","5","0"
"TNK_MN004","402","18760122","-0.5","5","0"
"TNK_MN004","402","18760123","-3.5","5","0"
"TNK_MN004","402","18760124","0.8","5","0"
"TNK_MN004","402","18760125","1.5","5","0"
"TNK_MN004","402","18760126","-0.3","5","0"
"TNK_MN004","402","18760127","-2.5","5","0"
"TNK_MN004","402","18760128","-2.8","5","0"
"TNK_MN004","402","18760129","-4","5","0"
"TNK_MN004","402","18760130","-2","5","0"
"TNK_MN004","402","18760131","-2.3","5","0"
"TNK_MN004","402","18760201","-4.3","5","0"
"TNK_MN004","402","18760202","-3.5","5","0"
"TNK_MN004","402","18760203","-1","5","0"
"TNK_MN004","402","18760204","-0.8","5","0"
"TNK_MN004","402","18760205","-0.3","5","0"
"TNK_MN004","402","18760206","-2.5","5","0"
"TNK_MN004","402","18760207","-1","5","0"
"TNK_MN004","402","18760208","-5.3","5","0"
"TNK_MN004","402","18760209","-4","5","0"
"TNK_MN004","402","18760210","-4","5","0"
"TNK_MN004","402","18760211","-8","5","0"
"TNK_MN004","402","18760212","-3.3","5","0"
"TNK_MN004","402","18760213","-9","5","0"
"TNK_MN004","402","18760214","-6.5","5","0"
"TNK_MN004","402","18760215","1.5","5","0"
"TNK_MN004","402","18760216","3.5","5","0"
"TNK_MN004","402","18760217","4.3","5","0"
"TNK_MN004","402","18760218","3.8","5","0"
"TNK_MN004","402","18760219","6.3","5","0"
"TNK_MN004","402","18760220","3.8","5","0"
"TNK_MN004","402","18760221","2","5","0"
"TNK_MN004","402","18760222","3.8","5","0"
"TNK_MN004","402","18760223","7","5","0"
"TNK_MN004","402","18760224","2.5","5","0"
"TNK_MN004","402","18760225","1.5","5","0"
"TNK_MN004","402","18760226","0.8","5","0"
"TNK_MN004","402","18760227","4.8","5","0"
"TNK_MN004","402","18760228","6","5","0"
"TNK_MN004","402","18760229","1","5","0"
"TNK_MN004","402","18760301","1.3","5","0"
"TNK_MN004","402","18760302","5","5","0"
"TNK_MN004","402","18760303","2.3","5","0"
"TNK_MN004","402","18760304","6","5","0"
"TNK_MN004","402","18760305","4.8","5","0"
"TNK_MN004","402","18760306","4.3","5","0"
"TNK_MN004","402","18760307","3.5","5","0"
"TNK_MN004","402","18760308","2.5","5","0"
"TNK_MN004","402","18760309","2.8","5","0"
"TNK_MN004","402","18760310","1.5","5","0"
"TNK_MN004","402","18760311","4","5","0"
"TNK_MN004","402","18760312","3.5","5","0"
"TNK_MN004","402","18760313","3.8","5","0"
"TNK_MN004","402","18760314","1.8","5","0"
"TNK_MN004","402","18760315","4.5","5","0"
"TNK_MN004","402","18760316","2.5","5","0"
"TNK_MN004","402","18760317","1","5","0"
"TNK_MN004","402","18760318","0.3","5","0"
"TNK_MN004","402","18760319","-0.3","5","0"
"TNK_MN004","402","18760320","1.3","5","0"
"TNK_MN004","402","18760321","-0.3","5","0"
"TNK_MN004","402","18760322","-0.8","5","0"
"TNK_MN004","402","18760323","-1.3","5","0"
"TNK_MN004","402","18760324","1.5","5","0"
"TNK_MN004","402","18760325","0.3","5","0"
"TNK_MN004","402","18760326","-1","5","0"
"TNK_MN004","402","18760327","0.8","5","0"
"TNK_MN004","402","18760328","1.5","5","0"
"TNK_MN004","402","18760329","3.5","5","0"
"TNK_MN004","402","18760330","6.5","5","0"
"TNK_MN004","402","18760331","5.8","5","0"
"TNK_MN004","402","18760401","6","5","0"
"TNK_MN004","402","18760402","8.3","5","0"
"TNK_MN004","402","18760403","8","5","0"
"TNK_MN004","402","18760404","6.5","5","0"
"TNK_MN004","402","18760405","3.5","5","0"
"TNK_MN004","402","18760406","8","5","0"
"TNK_MN004","402","18760407","4.3","5","0"
"TNK_MN004","402","18760408","5","5","0"
"TNK_MN004","402","18760409","6","5","0"
"TNK_MN004","402","18760410","9.3","5","0"
"TNK_MN004","402","18760411","5.8","5","0"
"TNK_MN004","402","18760412","2.3","5","0"
"TNK_MN004","402","18760413","2","5","0"
"TNK_MN004","402","18760414","0.3","5","0"
"TNK_MN004","402","18760415","1.5","5","0"
"TNK_MN004","402","18760416","3.8","5","0"
"TNK_MN004","402","18760417","5.5","5","0"
"TNK_MN004","402","18760418","9.3","5","0"
"TNK_MN004","402","18760419","7","5","0"
"TNK_MN004","402","18760420","9.3","5","0"
"TNK_MN004","402","18760421","10.3","5","0"
"TNK_MN004","402","18760422","8","5","0"
"TNK_MN004","402","18760423","8","5","0"
"TNK_MN004","402","18760424","6.3","5","0"
"TNK_MN004","402","18760425","6","5","0"
"TNK_MN004","402","18760426","8","5","0"
"TNK_MN004","402","18760427","6.8","5","0"
"TNK_MN004","402","18760428","4.5","5","0"
"TNK_MN004","402","18760429","9.3","5","0"
"TNK_MN004","402","18760430","8","5","0"
"TNK_MN004","402","18760501","8","5","0"
"TNK_MN004","402","18760502","7.3","5","0"
"TNK_MN004","402","18760503","4.3","5","0"
"TNK_MN004","402","18760504","5.5","5","0"
"TNK_MN004","402","18760505","8","5","0"
"TNK_MN004","402","18760506","7.3","5","0"
"TNK_MN004","402","18760507","3.8","5","0"
"TNK_MN004","402","18760508","0.8","5","0"
"TNK_MN004","402","18760509","1","5","0"
"TNK_MN004","402","18760510","1.3","5","0"
"TNK_MN004","402","18760511","3","5","0"
"TNK_MN004","402","18760512","1.5","5","0"
"TNK_MN004","402","18760513","5.5","5","0"
"TNK_MN004","402","18760514","5.3","5","0"
"TNK_MN004","402","18760515","7","5","0"
"TNK_MN004","402","18760516","7.8","5","0"
"TNK_MN004","402","18760517","9.3","5","0"
"TNK_MN004","402","18760518","7.8","5","0"
"TNK_MN004","402","18760519","1.5","5","0"
"TNK_MN004","402","18760520","2.5","5","0"
"TNK_MN004","402","18760521","8","5","0"
"TNK_MN004","402","18760522","7","5","0"
"TNK_MN004","402","18760523","10","5","0"
"TNK_MN004","402","18760524","11.8","5","0"
"TNK_MN004","402","18760525","11","5","0"
"TNK_MN004","402","18760526","9.8","5","0"
"TNK_MN004","402","18760527","7.5","5","0"
"TNK_MN004","402","18760528","6","5","0"
"TNK_MN004","402","18760529","11.3","5","0"
"TNK_MN004","402","18760530","11.3","5","0"
"TNK_MN004","402","18760531","12.3","5","0"
"TNK_MN004","402","18760601","12","5","0"
"TNK_MN004","402","18760602","10.3","5","0"
"TNK_MN004","402","18760603","13.3","5","0"
"TNK_MN004","402","18760604","12.3","5","0"
"TNK_MN004","402","18760605","10.8","5","0"
"TNK_MN004","402","18760606","15.3","5","0"
"TNK_MN004","402","18760607","18.8","5","0"
"TNK_MN004","402","18760608","15.8","5","0"
"TNK_MN004","402","18760609","14.5","5","0"
"TNK_MN004","402","18760610","16.5","5","0"
"TNK_MN004","402","18760611","15.5","5","0"
"TNK_MN004","402","18760612","16","5","0"
"TNK_MN004","402","18760613","17.3","5","0"
"TNK_MN004","402","18760614","15.8","5","0"
"TNK_MN004","402","18760615","16","5","0"
"TNK_MN004","402","18760616","16.5","5","0"
"TNK_MN004","402","18760617","15","5","0"
"TNK_MN004","402","18760618","11.8","5","0"
"TNK_MN004","402","18760619","15.3","5","0"
"TNK_MN004","402","18760620","15.5","5","0"
"TNK_MN004","402","18760621","14.8","5","0"
"TNK_MN004","402","18760622","16","5","0"
"TNK_MN004","402","18760623","11.5","5","0"
"TNK_MN004","402","18760624","11","5","0"
"TNK_MN004","402","18760625","11","5","0"
"TNK_MN004","402","18760626","11.3","5","0"
"TNK_MN004","402","18760627","13","5","0"
"TNK_MN004","402","18760628","15.5","5","0"
"TNK_MN004","402","18760629","15.5","5","0"
"TNK_MN004","402","18760630","16.8","5","0"
"TNK_MN004","402","18760701","14.5","5","0"
"TNK_MN004","402","18760702","13.3","5","0"
"TNK_MN004","402","18760703","15","5","0"
"TNK_MN004","402","18760704","14.3","5","0"
"TNK_MN004","402","18760705","16.8","5","0"
"TNK_MN004","402","18760706","18.5","5","0"
"TNK_MN004","402","18760707","17.3","5","0"
"TNK_MN004","402","18760708","19.5","5","0"
"TNK_MN004","402","18760709","18.3","5","0"
"TNK_MN004","402","18760710","18.3","5","0"
"TNK_MN004","402","18760711","16.5","5","0"
"TNK_MN004","402","18760712","14.8","5","0"
"TNK_MN004","402","18760713","12.3","5","0"
"TNK_MN004","402","18760714","13.3","5","0"
"TNK_MN004","402","18760715","16.3","5","0"
"TNK_MN004","402","18760716","12.8","5","0"
"TNK_MN004","402","18760717","13.5","5","0"
"TNK_MN004","402","18760718","14.5","5","0"
"TNK_MN004","402","18760719","13.5","5","0"
"TNK_MN004","402","18760720","12.5","5","0"
"TNK_MN004","402","18760721","13.5","5","0"
"TNK_MN004","402","18760722","13.5","5","0"
"TNK_MN004","402","18760723","16.5","5","0"
"TNK_MN004","402","18760724","17.3","5","0"
"TNK_MN004","402","18760725","18.5","5","0"
"TNK_MN004","402","18760726","15.1","5","0"
"TNK_MN004","402","18760727","17.3","5","0"
"TNK_MN004","402","18760728","13.3","5","0"
"TNK_MN004","402","18760729","17.5","5","0"
"TNK_MN004","402","18760730","14","5","0"
"TNK_MN004","402","18760731","16.3","5","0"
"TNK_MN004","402","18760801","18.5","5","0"
"TNK_MN004","402","18760802","15","5","0"
"TNK_MN004","402","18760803","14.3","5","0"
"TNK_MN004","402","18760804","18.8","5","0"
"TNK_MN004","402","18760805","16","5","0"
"TNK_MN004","402","18760806","15.8","5","0"
"TNK_MN004","402","18760807","15.5","5","0"
"TNK_MN004","402","18760808","15.3","5","0"
"TNK_MN004","402","18760809","18.3","5","0"
"TNK_MN004","402","18760810","15.8","5","0"
"TNK_MN004","402","18760811","18","5","0"
"TNK_MN004","402","18760812","14.8","5","0"
"TNK_MN004","402","18760813","16.3","5","0"
"TNK_MN004","402","18760814","18.8","5","0"
"TNK_MN004","402","18760815","20","5","0"
"TNK_MN004","402","18760816","15.8","5","0"
"TNK_MN004","402","18760817","12.5","5","0"
"TNK_MN004","402","18760818","12.3","5","0"
"TNK_MN004","402","18760819","15","5","0"
"TNK_MN004","402","18760820","16.8","5","0"
"TNK_MN004","402","18760821","19.5","5","0"
"TNK_MN004","402","18760822","20.5","5","0"
"TNK_MN004","402","18760823","16.8","5","0"
"TNK_MN004","402","18760824","13","5","0"
"TNK_MN004","402","18760825","12.5","5","0"
"TNK_MN004","402","18760826","10","5","0"
"TNK_MN004","402","18760827","9.8","5","0"
"TNK_MN004","402","18760828","11.8","5","0"
"TNK_MN004","402","18760829","14.3","5","0"
"TNK_MN004","402","18760830","13.5","5","0"
"TNK_MN004","402","18760831","11.5","5","0"
"TNK_MN004","402","18760901","12","5","0"
"TNK_MN004","402","18760902","11.5","5","0"
"TNK_MN004","402","18760903","11.8","5","0"
"TNK_MN004","402","18760904","11.5","5","0"
"TNK_MN004","402","18760905","12.8","5","0"
"TNK_MN004","402","18760906","16.3","5","0"
"TNK_MN004","402","18760907","14.5","5","0"
